PriceGroup,WidthInches,HeightInches,Price
11,54,90,380.94
11,60,90,418.32
11,66,90,460.32
11,72,90,499.80
11,84,90,581.70
11,96,90,661.50
11,24,96,201.60
11,30,96,236.88
11,36,96,277.62
11,42,96,318.36
11,48,96,357.42
11,54,96,399.84
11,60,96,439.74
11,66,96,484.26
11,72,96,526.26
11,84,96,610.68
11,96,96,697.62
12,24,36,107.94
12,30,36,123.90
12,36,36,140.70
12,42,36,157.92
12,48,36,173.88
12,54,36,193.20
12,60,36,211.26
12,66,36,229.32
12,72,36,248.22
12,84,36,285.18
12,96,36,324.24
12,24,42,118.02
12,30,42,133.98
12,36,42,153.72
12,42,42,173.88
12,48,42,192.36
12,54,42,215.04
12,60,42,233.94
12,66,42,254.94
12,72,42,276.36
12,84,42,319.20
12,96,42,362.46
12,24,48,127.26
12,30,48,147.84
12,36,48,169.68
12,42,48,192.36
12,48,48,213.36
12,54,48,238.56
12,60,48,260.40
12,66,48,285.60
12,72,48,309.12
12,84,48,357.00
12,96,48,406.98
12,24,54,139.44
12,30,54,160.86
12,36,54,184.38
12,42,54,211.26
12,48,54,234.36
12,54,54,260.40
12,60,54,286.86
12,66,54,314.16
12,72,54,339.36
12,84,54,392.70
12,96,54,446.88
12,24,60,152.88
12,30,60,172.20
12,36,60,199.08
12,42,60,227.64
12,48,60,252.42
12,54,60,282.24
12,60,60,308.70
12,66,60,340.20
12,72,60,368.34
12,84,60,425.88
12,96,60,485.10
